Cleaned Semester Data,,,,,,,,,,,,
,,,,,,,,,,,,
Subject,Catalog Nbr,Section,Class Nbr,Course Title,Component,Units,Bldg,Room,Days,Time,Instructor,Attributes
AAAD,101,1,3382,INTRO TO AFRICA,Lecture,3,TBA,TBA,TuTh,19:00 - 20:15,"Sebastian,MatthewRyanClassEnrlCap:","BN- Beyond the North Atlantic, GL- Global Issues, IDEA - Global Understanding and Engagement, IDEA - Power, Difference, and Inequality"
AAAD,101,2,3384,INTRO TO AFRICA,Lecture,3,Murphey,104,TuTh,14:00 - 15:15,"BOYD,LYDIAC","BN- Beyond the North Atlantic, GL- Global Issues, IDEA - Global Understanding and Engagement, IDEA - Power, Difference, and Inequality"
AAAD,101,3,3525,INTRO TO AFRICA,Lecture,3,New West,219,MWF,10:10 - 11:00,"Camara,Samba","BN- Beyond the North Atlantic, GL- Global Issues, IDEA - Global Understanding and Engagement, IDEA - Power, Difference, and Inequality"
AAAD,102,1,11569,INTRO TO AFRICAN MEDIA,Lecture,3,Dey Hall,307,TuTh,12:30 - 13:45,"Birya,RaphaelKalu","SS- Social and Behavioral Science, GL- Global Issues, IDEA - Global Understanding and Engagement, IDEA - Ethical and Civic Values"
AAAD,130,2,3411,INTRO AFRI AMER & DIASPORA STD,Lecture,3,Murphey,104,TuTh,11:00 - 12:15,"Monroe,AliciaLenis","HS- Historical Analysis, US- U.S. Diversity, IDEA - Global Understanding and Engagement, IDEA - Engagement with the Human Past"
AAAD,130,3,3412,INTRO AFRI AMER & DIASPORA STD,Lecture,3,Dey Hall,206,TuTh,14:00 - 15:15,"Monroe,AliciaLenis","HS- Historical Analysis, US- U.S. Diversity, IDEA - Global Understanding and Engagement, IDEA - Engagement with the Human Past"
AAAD,201,1,3385,AFRICAN LITERATURE,Lecture,3,Peabody,2080,MWF,09:05 - 09:55,"Mwamzandi,MohamedYusuf","GR1 LA- Literary Arts, BN- Beyond the North Atlantic, IDEA - Ways of Knowing"
AAAD,202,1,9957,AFRICAN FILM AND PERFORMANCE ,Lecture,3,Murray Hall,G201,MW,15:35 - 16:50,"Camara,SambaClassEnrlCap:","VP- Visual or Performing Arts, BN- Beyond the North Atlantic, IDEA - Aesthetic and Interpretive Analysis, IDEA - Global Understanding and Engage"
AAAD,214,1,13984,ETHNOGRAPHY OF AFRICA,Lecture,3,Gardner,7,MW,11:15 - 12:30,"LAMBERT,MICHAELC","SS- Social and Behavioral Science, BN- Beyond the North Atlantic, IDEA - Global Understanding and Engagement, IDEA - Ways of Knowing"
AAAD,237,1,3968,AFRICAN AMER ART,Lecture,3,Hanes Art Center ,218,TuTh,09:30 - 10:45,"BOWLES,JOHNPARISHClassEnrlCap:","VP- Visual or Performing Arts, NA- North Atlantic World, IDEA - Aesthetic and Interpretive Analysis, IDEA - Power, Difference, and Inequality Combined Section ID: 0375(arth287/aaad237) - ARTH 287(#3648)"
AAAD,238,1,11571,AFRICAN AMER LITERATURE SURVEY,Lecture,3,Venable,G311,W,15:30 - 18:20,"Craft,HowardLemuel","GR1 LA- Literary Arts, US- U.S. Diversity"
AAAD,252,1,3888,AFRICAN AMERICANS IN THE WEST,Lecture,3,Dey Hall,307,MW,17:45 - 19:00,"Porter,RobertS.","GR1 US- U.S. Diversity, IDEA - Engagement with the Human Past, IDEA - Power, Difference, and Inequality"
AAAD,254,1,13987,AFRICAN AMERICANS IN NC,Lecture,3,Dey Hall,307,Tu,19:30 - 22:00,"Porter,RobertS.ClassEnrlCap:","HS- Historical Analysis, US- U.S. Diversity, IDEA - Engagement with the Human Past, IDEA - Power, Difference, and Inequality"
AAAD,259,1,14897,BLACKS & POP CULTUR,Lecture,3,Peabody,3018,TuTh,15:30 - 16:45,"Massenburg,ChristopherDionClassEnrlCap:","VP- Visual or Performing Arts, IDEA - Aesthetic and Interpretive Analysis, IDEA - Engagement with the Human Past"
AAAD,284,1,13993,AFRICAN DIASP IN THE AMERICAS,Lecture,3,Phillips,381,TuTh,12:30 - 13:45,"Samuel,PetalKImberly","HS- Historical Analysis, BN- Beyond the North Atlantic, IDEA - Aesthetic and Interpretive Analysis, IDEA - Power, Difference, and Inequality"
